questions,answers
Where can I get information about delay or failures in train services?,Contact 24x7 DMRC helpline number 155370 or download our official APP from Play/APP Store or follow us of social media @officialdmrc or stay in touch on our official website.
"How can I get the information regarding nearest station for famous places landmarks like hotels, Govt. Buildings, Historical places etc?","You may contact DMRC 24x7 DMRC helpline number.
You may visit Tour Guide section of Delhi Metro website
Book named ""Delhi by Metro"" is also recommended, which is available at Patel Chowk metro station on MRP of Rs. 399/-.




Get In TouchMetro Bhawan Fire Brigade Lane, Barakhamba Road,New Delhi - 110001, IndiaEPABX - 011-23417910/11/12Quick LinksMiscellaneousEvacuation GuidelinesFAQ’sSecurityHelp and Contact DisclaimerPrivacy PolicyQuick ContactDMRC Helpline no.155370CISF Helpline no.155655Download AppsSocial LinksWeb Information manager Designed, Developed & Maintained by Arohatech IT Services  Hosted by National Informatics Center© 2023 . All rights are reserved.Web Information Manager  Terms of usePrivacy PolicyTerms of use | Privacy Policy"
How to get assistance for a sick person while travelling in Metro Train?,"Passenger Emergency Alarm/Handle are provided on every alternate door of Metro Train. By operating this, the problem can be informed to Train Operator.Next station will be informed to provide /arrange prompt medical assistance."
How can I get wheel chair at a Metro station?,While entering at station contact Customer Care Centre for assistance. Staff will arrange the wheel chair at entry and exit station or you may also contact 24x7 DMRC Helpline number so that it can be provided on your arrival at station.
Whether toilet facilities are available in train or stations?,Toilet facility is not available inside Metro Trains. however toilet facilities are available at metro stations in paid/unpaid area on ‘Pay & Use’ basis.
What about medical facilities?,"First Aid facility is available at all stations. For any medical emergency, ambulance service is also arranged through CATS.



Get In TouchMetro Bhawan Fire Brigade Lane, Barakhamba Road,New Delhi - 110001, IndiaEPABX - 011-23417910/11/12Quick LinksMiscellaneousEvacuation GuidelinesFAQ’sSecurityHelp and Contact DisclaimerPrivacy PolicyQuick ContactDMRC Helpline no.155370CISF Helpline no.155655Download AppsSocial LinksWeb Information manager Designed, Developed & Maintained by Arohatech IT Services  Hosted by National Informatics Center© 2023 . All rights are reserved.Web Information Manager  Terms of usePrivacy PolicyTerms of use | Privacy Policy"
What is a token?,A token is a valid ticket used for single journey travel.
From where can I purchase a token?,Tokens are available across all ticketing windows and Ticket Vending Machines at stations.
Can I recharge my Smart Card from the Paid/Unpaid area of a station?,"In DMRC :- Smart Card can be rechared from paid/unpaid area of a station.
In Airport Express Line :- Smart Card can be rechared only from unpaid area of a station."
Can I purchase a Token/ Smart Card or any Ticket from the paid area of a station?,No.
How many types of tokens/cards are available in Delhi Metro?,"S. No.
DMRC Product


1
Single Journey Token


2
Smart Card


3
Tourist Card (1 day or 3 days)


4
Single Journey Paper QR Ticket, Mobile App based QR Ticket


5
Trip Card (10, 30, 45 Trip), Mobile App based Trip Pass"
Is there any time limit within which I should enter the Metro Station after purchasing the token?,"No, the token remains valid for whole day from the station of purchase."
Is there any time limit within which I should exit from the destination station after entering from any station?,"Yes,




Fare
Maximum permissible length of time to stay within the system
			(in minutes)


Monday to Saturday
Sunday & National Holiday (i.e. Republic Day, Independence day and 2nd Oct.)


Rs.10/- & Rs.20/-
Rs.10/- only
65


Rs.30/-
Rs.20/-


Rs.40/-
Rs.30/-
100


Rs.50/- & Rs.60/-
Rs.40/- & Rs.50/-
180




After expiry of the time limit, a penalty @ Rs 10/ per hour subject to maximum of Rs 50/- will be charged.
In Airport Express Line - The maximum travel time limit is 65 Minutes for single journey. After expiry of the time limit a penalty @ Rs 20/ per hour subject to maximum of Rs 400/- will be charged."
Can I exit from the same station where I have entered?,"Yes, within 20 minutes after entry. After expiry of the time limit a penalty @ Rs10/ per hour subject to maximum of Rs 50/- will be charged.
In Airport Express Line - within 30 minutes after entry. After expiry of the time limit a penalty @ Rs20/ per hour subject to maximum of Rs 400/- will be charged."
Can I get return journey token?,No
Can I enter from any station other than the station from where I purchased the token?,No
How is fare calculated between two stations?,"Fare is fixed on the basis of distance between the stations.
In case of multiple interchange options, fare is calculated by the shortest route between origin and destination stations."
Can I get refund of my token?,"An unused token is refundable at full amount from token purchase station only, within 60 minutes of purchase of token. Partially used tokens can be refunded in exceptional cases, like disruption in service, unusual delay in train running due to incident/accident.
In Airport Express Line - Refund of Single Journey Paper QR ticket is not permitted. Partially used Single Journey Paper QR ticket can be refunded in exceptional cases like disruption in services."
Can I get refund of balance fare if I get down at a station before the destination station for which I have purchased the token/ticket?,No
Can I extend my journey beyond the original destination?,"Yes, if you are token holder, the additional fare for extended journey has to be paid at customer care centre of destination station before making an exit from AFC gates.
If you are a smart card holder, the fare for journey will be automatically deducted at the time of exit."
